Date,Open,High,Low,Close,Volume
2013.2.18,"25,600","26,000","25,550","25,900","2,456,890"
2013.2.19,"25,800","26,100","25,750","25,850","1,779,504"
2013.2.20,"26,250","26,700","26,200","26,500","6,657,608"
2013.2.21,"26,350","26,650","26,300","26,600","2,826,255"
2013.2.22,"26,400","26,600","26,300","26,400","2,689,623"
2013.2.25,"26,500","26,550","26,050","26,300","2,604,691"
2013.2.26,"26,100","26,650","25,850","26,550","3,772,301"
2013.2.27,"26,850","26,950","26,250","26,250","3,098,659"
2013.2.28,"26,700","26,750","26,500","26,500","4,038,185"
2013.3.4,"26,600","26,700","25,900","26,000","3,753,949"
2013.3.5,"26,400","27,200","26,400","27,000","8,141,593"
2013.3.6,"27,650","28,200","27,600","28,000","11,109,877"
2013.3.7,"28,100","28,450","27,850","28,150","6,588,200"
2013.3.8,"28,350","28,400","27,800","28,250","3,607,159"
2013.3.11,"28,250","28,800","28,200","28,600","6,597,705"
2013.3.12,"28,850","28,900","28,050","28,100","3,957,978"
2013.3.13,"28,300","28,550","28,100","28,300","2,769,799"
2013.3.14,"28,450","29,000","28,400","28,900","5,071,138"
2013.3.15,"29,000","29,200","28,400","28,800","4,473,661"
2013.3.18,"28,550","28,900","28,400","28,400","2,926,693"
2013.3.19,"28,800","28,900","28,350","28,650","3,232,956"
2013.3.20,"28,500","28,850","28,350","28,600","2,632,433"
2013.3.21,"28,850","28,900","28,050","28,050","3,426,566"
2013.3.22,"27,900","28,450","27,650","28,300","3,555,515"
2013.3.25,"29,050","29,200","28,850","29,050","3,959,211"
2013.3.26,"29,050","29,500","29,000","29,500","5,570,927"
2013.3.27,"29,600","29,700","29,200","29,450","3,184,531"
2013.3.28,"29,450","29,450","28,950","29,250","3,223,050"
2013.3.29,"29,500","29,650","28,750","28,750","3,045,853"
2013.4.1,"28,900","29,050","28,600","28,650","1,972,865"
2013.4.2,"28,750","28,900","28,350","28,400","3,577,498"
2013.4.3,"28,600","29,150","28,550","28,900","3,584,222"
2013.4.4,"28,550","29,200","28,400","29,200","4,869,239"
2013.4.5,"29,300","29,300","28,350","28,550","3,681,853"
2013.4.8,"28,600","28,700","27,800","27,900","4,153,747"
